61,471,368,70,60,40.5,49.5,67,65,39.5,0,70,failed
61.2,469,320,74.5,33,41,42.3,77,85,60,75,78,failed
66.8,443,0,78,77,56,75,79,75,79,85,72,pass
73.8,440,408.5,94.5,80,70,66,89,75,63,75,89,failed
64,443,326.5,91.5,79,69,69,87,75,66,75,87,failed
74.8,527,419,67,67,74,68,88,75,75,85,80,failed
76.5,438,400.3,93.5,84,71,94,96,85,82,95,89,failed
79,500,434,96.5,94,83,95,94,85,78,85,88,pass
67.8,453,355,73.5,93,62,72,87,85,53.7,65,90,failed
76.2,496,388.5,96,85,83,82,91,95,66,75,89,failed
77.2,545,492.5,77.5,81,70,66,90,85,54,65,87,failed
76.8,476,395.7,95.5,81,81,86,96,85,67,75,80,failed
77.2,495,416.7,70.5,73,61,71,93,75,47.3,65,79,failed
0,0,0,45.5,23,53.5,20,30,65,34.5,0,78,failed
61.6,452,340.3,94.5,93,71,64,80,95,74,85,82,pass
65.2,444,261,73,92,52.5,40,92,65,38.5,75,88,failed
66.5,469,426.5,78.5,79,75,64,82,75,61,65,81,pass
57.2,434,292,78.5,84,54,70,71,65,39,75,88,failed
64,534,269,64.5,67,54,60,63,65,52,65,78,failed
57.4,438,306.3,66,69,52.5,89,86,65,44,65,81,failed
62.2,449,336.3,83.5,92,62,79,85,95,56.7,65,82,pass
63.5,447,356,82.5,66,60,66,81,65,42,75,82,failed
63,469,345,85.5,82,68,49,74,65,43,65,80,failed
67.5,506,428,94.5,73,61.5,60,76,65,64,75,70,failed
70.2,488,403,81.5,80,63,62,91,75,62,75,88,failed
65.8,424,361.5,92,87,74,83,83,85,71,75,90,failed
69.5,497,405.3,65,65,67.5,64,78,65,42.5,0,82,failed
56.4,415,302,73,84,62.5,48.3,76,65,50,65,82,failed
68,527,420.7,72.5,80,46.5,56,62,65,41,0,82,failed
64.2,476,349,75.5,65,57.5,42,64,65,38,0,82,failed
69,498,336,88,82,60.5,49,80,75,70,75,89,failed
66.5,478,428,84,86,62,47.3,72,65,39.5,0,91,failed
70,477,444,85.5,77,60,49.5,71,75,51.5,65,89,failed
62.8,386.2,0,77,56.5,63,65,84,75,75,90,95,pass
